URL,Creator's Tag,Black nav text?,Anime,Song,Artist
https://www.instagram.com/p/CE1dvBRAMSi/,lofiyuth_,n,Noragami,Big Poppa,The Notorious B.I.G
https://www.instagram.com/p/CEwSm4IAxdY/,lofiyuth_,n,Weathering With You,Let's Pretend We're Numb,XXXTENTACION
https://www.instagram.com/p/CEmBLpaARTY/,lofiyuth_,y,Tokyo Ghoul,You are Loving (feat. Shiloh Dynasty),Timmies
https://www.instagram.com/p/CEbxDVMgJko/,lofiyuth_,n,Weathering With You,Sleepless,Dylan Torrence
https://www.instagram.com/p/CHwW1UAglmj/,shadpai,n,Jujutsu Kaisen,Little Dark Age,MGMT
https://www.instagram.com/p/CH0Q_NuDhkd/,paletteism,y,Rascal Does Not Dream of Bunny Girl Senpai,C Note,Kewlie
https://www.instagram.com/p/CH0GOd8gHGG/,cutchlofi,n,A Silent Voice,I Don't Wanna Do This Anymore (Instrumental),XXXTENTACION
https://www.instagram.com/p/CH0PjCVCCBB/,mono.lofi,n,Haikyuu!!,Elevation,Trell Daniels
https://www.instagram.com/p/CH0b9XBqFtH/,thoughtlyy,n,A Silent Voice,Slow Dancing in the Dark (slowed),Joji
https://www.instagram.com/p/CH0j2ahAOo0/,4kjapon,n,Sword Art Online,Eyes Blue Like the Atlantic,Sista Prod
https://www.instagram.com/p/CHddvlYgLwe/,4kjapon,n,Weathering With You,Soft Skin (feat. Shiloh Dynasty),Timmies
https://www.instagram.com/p/CHDx9XrAk2X/,4kjapon,n,5 Centimeters per Second,Eyes Blue or Brown Can't Remember,Jymixx
https://www.instagram.com/p/CHepWBQAClU/,lofiwae,n,Jujutsu Kaisen,Feeling Good,Michael Bublé
https://www.instagram.com/p/CHZg2kNA-nb/,lofiwae,y,"Your Name, 5 Centimeters per Second,Tomako Love story",Yosuga no Sora Main Theme,Toui Sora He
https://www.instagram.com/p/CH04HNYBYoa/,luvrskyo,y,Kakegurui,"She Said ""Don't Make Others Suffer For Your Own Personal Hatred""",Datfootdive
https://www.instagram.com/p/CH09TpbHEVf/,tri.stful,n,Sword Art Online,I'll Keep You Safe,Shiloh Dynasty
https://www.instagram.com/p/CH080bsjuqs/,lofinites,y,Weathering With You,Stay Home,Eric Godlow
https://www.instagram.com/p/CHzLum5gmCJ/,lofiwae,n,I Want to Eat Your Pancreas,Honesty,Pink Sweat$
https://www.instagram.com/p/CHxvNuOA6gI/,swaut,n,Beyond the Boundary,Tired (feat. Chief.),Limbo
https://www.instagram.com/p/CHwNY7uAD5G/,jrzu,n,Tokyo Ghoul,ON TOP,The Girl Next Door
https://www.instagram.com/p/CHu8nyige2Y/,cutchlofi,y,Hyouka,Long Espresso,o k h o
https://www.instagram.com/p/CHuGeBjAw9f/,lofiwae,y,A Silent Voice,Moral of the Story,Ashe
https://www.instagram.com/p/CHtEl5wgPfQ/,optiul,n,Death Note,Hayloft,Mother Mother
https://www.instagram.com/p/CHn8zbbAyQv/,ck1n6,n,Tokyo Ghoul,In Love,H E R  B
https://www.instagram.com/p/CFkN3m3ASs4/,lofi.venuss,n,Kakegurui,A World That's Ending,Datfootdive
https://www.instagram.com/p/CGQIcgHgTc-/,lofi.venuss,n,Demon Slayer,Cудно,Молчат Дома
https://www.instagram.com/p/CDzqkDjAvM-/,,n,Cowboy Bebop,Nothing in Return,Monsune
https://www.instagram.com/p/CHQkdDsAXdR/,lofiblues,n,The End of Evangelion,Money (slowed),The Drums
https://www.instagram.com/p/CHnOP8aA4EE/,cutchlofi,y,A Silent Voice,Ride on Time,Tatsuro Yamashita
https://www.instagram.com/p/CHg7Zk3HuDr/,tri.stful,y,Violet Evergarden,Oblivion Remix (feat. Lilly Potter),Rufi-O
https://www.instagram.com/p/CHJF9XkgiLP/,dazedlofi,y,Violet Evergarden,Just Take My Wallet,Jack Stauber
https://www.instagram.com/p/CHROOxugoR3/,,n,Kakegurui,Cha Cha,Freddie Dredd
https://www.instagram.com/p/CHf0mJXgfna/,c3ffs,n,Wolf Children,See You Again (feat. Kali Uchis),"Tyler, The Creator"
https://www.instagram.com/p/CHlJuECsR1q/,c3ffs,y,The Promised Neverland,Play Date,Melanie Martinez
https://www.instagram.com/p/CHsjt44jbNC/,5.pmde,n,The Promised Neverland,Oh Klahoma,Jack Stauber
https://www.instagram.com/p/CHTDNhLCcKF/,kuragariii,n,Your Name,Freaking Out The Neighborhood,Mac DeMarco
https://www.instagram.com/p/CHNglDIAbGM/,izanamiiiii_,y,Garden of Words,Eyes Blue Like the Atlantic,Sista Prod
https://www.instagram.com/p/CHQellEA80y/,angryapplelofi,n,Les Films du Prince (Music Video),Shmoki,Angry Apple
https://www.instagram.com/p/CHQDC2bADfk/,cutchlofi,n,Darling in the Franxx,sayk_,Alone (Unplugged)
https://www.instagram.com/p/CG7ggVKAjU9/,lofiyuth_,n,Cowboy Bebop,Water,Caleb Belkin
https://www.instagram.com/p/CG9-F-Pg5b1/,lowenergyvibe,n,A silent Voice,New Slaves (slowed),Kanye West
https://www.instagram.com/p/CHMpGAugdUJ/,kid_lofiaesthetic,n,Darling in the Franxx,Eyes Blue or Brown Can't Remember,Jymixx
https://www.instagram.com/p/CHMtLjFg5yq/,jiangelo99,n,Rent-a-Girlfriend,A Simple Bunny Girl,Biosphere
https://www.instagram.com/p/CG5SawkAmUH/,chrryebmb,n,One Piece,The Eye of Truth,Driver
https://www.instagram.com/p/CHYK44Cg9AP/,vhs_lofi,y,A Silent Voice,Summertime,cinnamons x evening cinema
https://www.instagram.com/p/CHYm5lEhD8s/,Idealisms,y,"Eve - ""We're Still Underground"" Music Video",Amore mio aiutami,Pierro Piccioni
https://www.instagram.com/p/CHaZFYhg_L6/,lofiyuth_,y,Rascal Does Not Dream of Bunny Girl Senpai,Fukashigi No Carte (Lofi),Asami Seto
https://www.instagram.com/p/CCzarkJjhvt/,shittyg_y,y,Mixed Anime,Unreleased Track,Shitty Guy
https://www.instagram.com/p/CCSM0-2DVGU/,shittyg_y,n,"Lupin the The Third, Mob Psycho, JoJo's Bizzare Adventure",Unreleased Track,Shitty Guy
https://www.instagram.com/p/CAtHZUIJ3bl/,nighttempo,n,JoJo's Bizarre Adventure: Golden Wind,Tokyo,Night Tempo
https://www.instagram.com/p/CAB0QSOA0QY/,noct.bpm,y,A Silent Voice,Isn't She Lovely,xn.dr
https://www.instagram.com/p/B0RRrc2gOFE/,shittyg_y,y,Berserk,Just A Dream,Shitty Guy
https://www.instagram.com/p/B_iqx3sAHa5/,watermewon,n,Kakegurui,I Don't Want to Set the World on Fire,The Ink Spots
https://www.instagram.com/p/B_nySF_JZ3E/,Idealisms,y,Re: Zero,Put Your Head on My Shoulder,Paul Anka
